Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rabi       ,Uttarakhand,349669,853769,1309.8,52730085.2,108397.39,1.954615385
Rabi       ,Jharkhand,69336,128571,1102,10455868.8,21494.16,1.663333333
Rabi       ,West Bengal,321572,895927,1566,48493057.6,99687.32,2.555
Rabi       ,Bihar,2148818,6134679,1069.9,310482712.8,580180.86,2.835
Rabi       ,Chhattisgarh,105033,140756,1418.3,15176218.17,28358.91,1.5332
Rabi       ,Gujarat,1442288,4607993,1006.5,208396193.1,389417.76,3.072
Rabi       ,Haryana,2499000,11800000,452.2,361080510,674730,4.623809524
Rabi       ,Himachal Pradesh,415665,324283,1216.9,60059435.85,112229.55,0.786666667
Rabi       ,Madhya Pradesh,6123044,15722722,1451.4,884718627.6,1653221.88,2.538431373
Rabi       ,Maharashtra,1028200,1480000,1409.8,148564618,277614,1.462413793
Rabi       ,Manipur,2160,5400,1428.8,312098.4,583.2,2.495
Rabi       ,Nagaland,3000,5470,1350.9,433470,810,1.824444444
Rabi       ,Punjab,3512000,17620000,586.6,507448880,948240,4.936818182
Rabi       ,Telangana,7039,4366,1348.7,1017065.11,1900.53,0.74
Rabi       ,Tripura,150,300,2043.5,21673.5,40.5,1.93375
Rabi       ,Uttar Pradesh,9839197,31492656,995.2,1421665575,2656583.19,3.2156
Rabi       ,Uttarakhand,343637,848134,1735.4,49652110.13,92781.99,1.978461538
Rabi       ,Jharkhand,73527,106208,1253.6,10623916.23,19852.29,1.550416667
Rabi       ,West Bengal,331481,927837,1939.9,47895689.69,89499.87,2.538888889
Rabi       ,Bihar,2154423,3570211,1061,325231696.1,710959.59,1.676315789
Rabi       ,Chhattisgarh,103195,153321,1274.7,15578317.2,34054.35,1.745384615
Rabi       ,Gujarat,1171449,3293487,605.6,176841941,386578.17,2.8178125
Rabi       ,Haryana,2628000,10457000,301.3,396722880,867240,3.782857143
Rabi       ,Himachal Pradesh,345548,639209,1019.9,52163926.08,114030.84,1.846666667
Rabi       ,Madhya Pradesh,5999000,18463000,891.2,905609040,1979670,2.904705882
Rabi       ,Maharashtra,1067300,1307700,1001.6,161119608,352209,1.20137931
Rabi       ,Manipur,2160,5620,987.5,326073.6,712.8,2.631666667
Rabi       ,Nagaland,3070,5600,1333.3,463447.2,1013.1,1.823333333
Rabi       ,Punjab,3505000,15050000,382.7,529114800,1156650,4.174090909
Rabi       ,Telangana,5828,6929,746.4,879794.88,1923.24,1.156
Rabi       ,Tripura,135,304,2015.7,20379.6,44.55,2.21375
Rabi       ,Uttar Pradesh,9846466,20054791,616.4,1486422507,3249333.78,2.065466667
Rabi       ,Uttarakhand,343879,662026,1287.4,51911973.84,113480.07,1.543076923
Rabi       ,Jharkhand,63741,96435,1156.6,9622341.36,21034.53,1.46625
Winter     ,Jharkhand,23515,42516,1156.6,3549824.4,7759.95,1.436428571
Rabi       ,West Bengal,334640,939254,1483.5,50517254.4,110431.2,2.615
